"model_name","status","error_message","exitcode","elapsed_seconds","b_0_est","b_w_est","b_b_est","b_w_lower","b_w_upper","b_b_lower","b_b_upper","var_u0_est","var_e_est","final_psr_max_all","final_psr_max_core","final_psr_parameter_all","final_psr_parameter_core","final_psr_focal_bw","final_psr_focal_bb","min_ess_all","min_ess_core","min_ess_parameter_all","min_ess_parameter_core","ess_focal_bw","ess_focal_bb","sim_id","model_type"
"m6_sim_4","completed",NA,0,131.2485859,0.1376,0.42,0.5173,0.3794,0.4617,0.3204,0.6993,1.1199,1.0482,1.0346,1.0346,"aux.regressed on.x_mar.mean[id2]","aux.regressed on.x_mar.mean[id2]",1.0027,1.0174,24.4916,24.4916,"aux ~ y_mar.mean[id2]","aux ~ y_mar.mean[id2]",140.3971,108.743,4,"6_blimp_rescue"
"m2_sim_5","completed",NA,0,51.83349085,0.0393,0.3952,0.7092,0.3677,0.4232,0.4924,0.93,0.9384,0.9615,1.0158,1.0158,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1,1.0158,87.1573,87.1573,"y ~ x.mean[id2]","y ~ x.mean[id2]",9413.9757,87.1573,5,"2_blimp_complete"
"m4_sim_5","completed",NA,0,30.10545301,-0.5127,0.54,0.5728,0.5043,0.575,0.3942,0.7369,0.7684,0.7818,1.0117,1.0117,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0001,1.0117,182.5704,182.5704,"y_mar ~ Intercept","y_mar ~ Intercept",9271.9934,194.0643,5,"4_blimp_lmc_noaux"
"m5_sim_5","completed",NA,0,89.22637296,-0.0359,0.4593,0.7717,0.4174,0.5023,0.602,0.995,0.928,1.0287,1.0283,1.0283,"y_mar.intercept","y_mar.intercept",NA,NA,25.0426,25.0426,"y_mar ~ x_mean_biased","y_mar ~ x_mean_biased",657.4721,25.0426,5,"5_blimp_omc_aux"
"m6_sim_5","completed",NA,0,141.605721,0.0356,0.4194,0.7231,0.3788,0.4625,0.4992,0.9206,0.9491,0.9977,1.0599,1.0584,"aux.regressed on (standardized).y_mar.mean[id2]","aux.regressed on.y_mar.mean[id2]",1.0076,1.0141,30.2766,30.2766,"aux ~ Intercept","aux ~ Intercept",255.9238,31.6785,5,"6_blimp_rescue"
"m2_sim_6","completed",NA,0,51.58724999,-0.1645,0.3933,0.6106,0.365,0.4206,0.4021,0.804,1.1129,0.9984,1.0368,1.0368,"y.intercept","y.intercept",1,1.0342,91.97,91.97,"y ~ Intercept","y ~ Intercept",9337.7119,92.8466,6,"2_blimp_complete"
"m4_sim_6","completed",NA,0,33.47609615,-0.6447,0.5001,0.476,0.4651,0.5357,0.2919,0.6747,0.9568,0.7965,1.0136,1.0136,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0002,1.0136,120.3395,120.3395,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",9221.2726,120.3395,6,"4_blimp_lmc_noaux"
"m5_sim_6","completed",NA,0,93.03653097,-0.1905,0.4052,0.6777,0.3636,0.4486,0.5054,0.8771,1.0964,1.057,1.0328,1.0328,"y_mar.regressed on.x_mean_biased","y_mar.regressed on.x_mean_biased",NA,NA,21.9327,21.9327,"aux ~ x_mean_biased","aux ~ x_mean_biased",754.3951,27.4738,6,"5_blimp_omc_aux"
"m6_sim_6","completed",NA,0,135.037889,-0.1364,0.3655,0.6286,0.3237,0.4072,0.4116,0.8378,1.1183,1.0207,1.0642,1.0642,"aux.regressed on.x_mar.mean[id2]","aux.regressed on.x_mar.mean[id2]",1.0032,1.025,58.5877,58.5877,"aux ~ y_mar.mean[id2]","aux ~ y_mar.mean[id2]",405.2032,107.4483,6,"6_blimp_rescue"
"m2_sim_7","completed",NA,0,52.40899014,0.0021,0.4013,0.4916,0.3738,0.4297,0.2572,0.7392,1.1666,0.973,1.0219,1.0219,"y.intercept","y.intercept",1,1.0106,69.0586,69.0586,"y ~ x.mean[id2]","y ~ x.mean[id2]",9689.7705,69.0586,7,"2_blimp_complete"
"m4_sim_7","completed",NA,0,30.91603804,-0.487,0.5082,0.3284,0.4739,0.5431,0.1228,0.5001,0.9345,0.7481,1.0099,1.0099,"y_mar.intercept","y_mar.intercept",0.9999,1.0063,74.8431,76.2797,"y_mar ~ x_mar.mean[id2] (standardized)","y_mar ~ x_mar.mean[id2]",9242.879,76.2797,7,"4_blimp_lmc_noaux"
