sim_id,model_type,b_0_est,b_w_est,b_b_est,cov_b_w,cov_b_b,var_u0_est,var_e_est
13,1_lmer_complete,-0.059866478,0.394234582,0.66379265,1,1,1.0085186,0.992302861
13,2_blimp_complete,-0.0749,0.3942,0.6531,1,1,1.0391,0.9925
13,3_lmer_naive,-0.626539158,0.525471138,0.501198118,0,1,0.760053819,0.784862182
13,4_blimp_lmc_noaux,-0.629,0.5258,0.4939,0,1,0.7819,0.7855
13,5_blimp_omc_aux,-0.1476,0.4332,0.7314,1,1,1.0115,1.028
13,6_blimp_rescue,-0.0537,0.3986,0.6737,1,1,1.0459,0.9996
14,1_lmer_complete,0.031710498,0.403115084,0.673204287,1,1,0.99010129,1.014559437
14,2_blimp_complete,0.0161,0.4032,0.6672,1,1,1.0191,1.0148
14,3_lmer_naive,-0.523332006,0.528149535,0.478948761,0,1,0.844343176,0.810117896
14,4_blimp_lmc_noaux,-0.5313,0.5283,0.482,0,1,0.8687,0.8108
14,5_blimp_omc_aux,0.0678,0.4326,0.74,1,1,1.0541,1.0887
14,6_blimp_rescue,0.1227,0.3944,0.7145,1,1,1.1035,1.0583
15,1_lmer_complete,-0.009021331,0.400431743,0.581581343,1,1,1.015423866,0.981358791
15,2_blimp_complete,-0.0242,0.4005,0.5772,1,1,1.0443,0.9816
15,3_lmer_naive,-0.570173444,0.53608824,0.47133465,0,1,0.759593596,0.765935322
15,4_blimp_lmc_noaux,-0.5798,0.5365,0.4566,0,1,0.7819,0.7665
15,5_blimp_omc_aux,-0.0396,0.4317,0.6632,1,1,1.0165,1.0269
15,6_blimp_rescue,-0.0177,0.3944,0.5866,1,1,1.0289,0.9955
16,1_lmer_complete,0.308051893,0.400451887,0.675800363,1,1,1.219767086,0.974621784
16,2_blimp_complete,0.2849,0.4005,0.6944,1,1,1.2542,0.9748
16,3_lmer_naive,-0.270646114,0.559822725,0.468324224,0,1,0.959384524,0.743099909
16,4_blimp_lmc_noaux,-0.2649,0.5596,0.4635,0,1,0.9862,0.744
16,5_blimp_omc_aux,0.2242,0.4625,0.7234,0,1,1.2125,1.0248
16,6_blimp_rescue,0.3245,0.4184,0.6723,1,1,1.2508,0.988
17,1_lmer_complete,-0.130833239,0.40564725,0.688825571,1,1,0.994498161,0.97657335
17,2_blimp_complete,-0.1461,0.4058,0.671,1,1,1.0236,0.9769
17,3_lmer_naive,-0.657277476,0.543958536,0.50182042,0,1,0.89057033,0.753341602
17,4_blimp_lmc_noaux,-0.6646,0.5439,0.4882,0,1,0.9171,0.7537
17,5_blimp_omc_aux,-0.1962,0.4501,0.762,0,1,1.0349,1.0126
17,6_blimp_rescue,-0.1446,0.4109,0.7323,1,1,1.0617,0.9798
18,1_lmer_complete,0.016642329,0.402734999,0.464919817,1,1,0.989650406,0.998578223
18,2_blimp_complete,5.00E-04,0.4029,0.4712,1,1,1.0209,0.9988
18,3_lmer_naive,-0.471308821,0.524269721,0.328716661,0,0,0.74660366,0.76973107
18,4_blimp_lmc_noaux,-0.4757,0.5247,0.3181,0,0,0.7669,0.7703
18,5_blimp_omc_aux,0.0209,0.4344,0.5644,1,1,0.992,1.0083
18,6_blimp_rescue,0.0171,0.391,0.473,1,1,0.9993,0.9687
19,1_lmer_complete,-0.16392963,0.402086133,0.617473149,1,1,1.032735411,0.980077513
19,2_blimp_complete,-0.1791,0.4023,0.617,1,1,1.0625,0.9803
19,3_lmer_naive,-0.698638711,0.522100974,0.403907668,0,0,0.829159047,0.783822507
19,4_blimp_lmc_noaux,-0.7018,0.5225,0.3997,0,0,0.852,0.7845
19,5_blimp_omc_aux,-0.2059,0.4355,0.6232,1,1,1.0569,1.0164
19,6_blimp_rescue,-0.1538,0.3959,0.5521,1,1,1.0769,0.9809
20,1_lmer_complete,0.026308843,0.423764374,0.524103415,1,1,1.12532594,1.00752681
20,2_blimp_complete,0.0102,0.4239,0.5183,1,1,1.1585,1.0077
20,3_lmer_naive,-0.582689085,0.549474995,0.355707988,0,0,0.745081941,0.800564434
20,4_blimp_lmc_noaux,-0.5846,0.5495,0.3407,0,0,0.7629,0.8016
20,5_blimp_omc_aux,-0.011,0.4574,0.5588,0,1,1.0085,1.0722
20,6_blimp_rescue,0.0131,0.4173,0.5113,1,1,1.0261,1.0424
21,1_lmer_complete,-0.145058105,0.405886279,0.500562841,1,1,0.81644771,1.015842973
21,2_blimp_complete,-0.1583,0.4061,0.4875,1,1,0.8419,1.016
21,3_lmer_naive,-0.647320708,0.567362359,0.345037216,0,0,0.711573663,0.784564587
21,4_blimp_lmc_noaux,-0.6587,0.5671,0.3358,0,0,0.7347,0.7851
21,5_blimp_omc_aux,-0.1369,0.4749,0.5627,0,1,0.8487,1.0572
21,6_blimp_rescue,-0.145,0.4375,0.5125,1,1,0.8544,1.0305
22,1_lmer_complete,0.194519113,0.389015045,0.541194146,1,1,1.028945388,1.015328707
22,2_blimp_complete,0.1797,0.3892,0.5199,1,1,1.0575,1.0155
22,3_lmer_naive,-0.347240917,0.512752852,0.325007986,0,0,0.878510982,0.773146467
22,4_blimp_lmc_noaux,-0.3545,0.5131,0.3179,0,0,0.9031,0.7739
22,5_blimp_omc_aux,0.1936,0.4094,0.601,1,1,1.0705,1.0502
22,6_blimp_rescue,0.2106,0.3736,0.5559,1,1,1.1136,1.0176
23,1_lmer_complete,0.163385866,0.398322778,0.577794027,1,1,1.30084072,0.992845815
23,2_blimp_complete,0.1463,0.3985,0.58,1,1,1.3386,0.993
